Major,Math,Creativity,Problem_Solving,Communication_Skills,Technology_Interest,Leadership,Analytical_Thinking,Attention_to_Details,Biology_Interest,Fitness_Interest,Teamwork,Stress_Tolerance,Ethics,Patience,Empathy,Spatial_Thinking,Research_Drive
Computer Science / IT,0.70,0.50,0.90,0.45,1.00,0.50,0.90,0.80,0.10,0.10,0.55,0.75,0.75,0.75,0.25,0.40,0.70
Cybersecurity,0.70,0.40,0.95,0.40,1.00,0.50,0.90,1.00,0.10,0.10,0.50,0.90,0.95,0.75,0.20,0.40,0.85
Software Engineering,0.80,0.60,0.90,0.50,1.00,0.50,0.90,0.90,0.10,0.10,0.60,0.70,0.70,0.80,0.20,0.40,0.75
Graphic Design,0.20,1.00,0.50,0.60,0.65,0.30,0.60,0.85,0.10,0.10,0.55,0.50,0.45,0.70,0.25,0.75,0.40
Animation & VFX,0.30,0.95,0.60,0.50,0.85,0.30,0.50,0.90,0.10,0.10,0.65,0.55,0.55,0.80,0.35,0.80,0.50
Business Administration,0.60,0.65,0.80,0.95,0.55,0.90,0.85,0.60,0.10,0.20,0.85,0.70,0.60,0.50,0.40,0.30,0.60
Law,0.30,0.45,0.85,1.00,0.20,0.70,0.95,1.00,0.10,0.20,0.70,0.85,1.00,0.85,0.55,0.20,0.85
Medicine,0.50,0.30,0.85,0.85,0.40,0.65,0.90,0.95,1.00,0.50,0.70,1.00,0.95,1.00,0.75,0.30,1.00
Nursing,0.40,0.40,0.70,0.90,0.40,0.50,0.70,0.90,0.90,0.60,0.90,1.00,0.95,1.00,0.95,0.20,0.65
Pharmacy,0.70,0.30,0.70,0.70,0.40,0.40,0.85,0.80,0.90,0.30,0.60,0.60,0.65,0.70,0.30,0.20,0.85
Engineering (General),0.90,0.55,0.90,0.65,0.70,0.55,0.90,0.80,0.20,0.30,0.60,0.85,0.30,0.90,0.20,0.70,0.70
Civil Engineering,0.90,0.50,0.90,0.60,0.60,0.60,0.90,0.95,0.10,0.30,0.70,0.70,0.60,0.80,0.20,0.80,0.70
Mechanical Engineering,0.90,0.60,0.90,0.50,0.70,0.50,0.90,0.90,0.10,0.30,0.60,0.70,0.50,0.80,0.20,0.85,0.70
Electrical Engineering,1.00,0.40,0.90,0.50,0.90,0.50,1.00,0.90,0.10,0.20,0.50,0.70,0.50,0.80,0.20,0.50,0.70
Architecture,0.70,0.85,0.80,0.60,0.60,0.50,0.80,1.00,0.10,0.30,0.60,0.90,0.50,0.90,0.30,1.00,0.60
Chemistry,0.80,0.40,0.80,0.50,0.40,0.30,0.90,1.00,0.70,0.20,0.50,0.70,0.60,0.90,0.20,0.40,0.85
Sports Science,0.30,0.35,0.50,0.75,0.40,0.60,0.60,0.60,0.70,1.00,0.80,0.70,0.55,0.70,0.50,0.30,0.55
Education / Teaching,0.40,0.60,0.75,1.00,0.40,0.75,0.65,0.65,0.30,0.20,0.90,0.85,0.85,1.00,0.85,0.40,0.60
Criminology / Police Studies,0.40,0.30,0.85,0.85,0.55,0.70,0.90,0.85,0.20,0.70,0.75,1.00,1.00,0.70,0.50,0.30,0.75
Psychology,0.20,0.30,0.75,0.85,0.30,0.50,0.95,0.75,0.50,0.10,0.65,0.85,0.95,1.00,1.00,0.20,0.80
Interior Design,0.50,1.00,0.70,0.75,0.60,0.40,0.65,0.90,0.10,0.10,0.65,0.65,0.35,0.75,0.30,1.00,0.55
Finance & Accounting,0.90,0.30,0.70,0.70,0.65,0.60,0.90,1.00,0.10,0.10,0.60,0.70,0.80,0.70,0.20,0.30,0.85
Media & Journalism,0.30,0.75,0.60,1.00,0.60,0.60,0.70,0.70,0.10,0.20,0.70,0.75,0.80,0.60,0.60,0.30,0.80
Islamic Studies / Sharia,0.20,0.40,0.75,0.70,0.20,0.60,0.80,0.90,0.10,0.10,0.60,0.60,1.00,0.90,0.60,0.20,0.95
Hotel & Tourism Management,0.40,0.60,0.75,1.00,0.50,0.85,0.60,0.80,0.10,0.40,0.90,0.70,0.70,0.80,0.80,0.30,0.75
